Dataset,number_bands,beta,rep,accuracy
indianpines,2,1.0,0,0.509159891598916
indianpines,2,3.0,0,0.4883468834688347
indianpines,2,5.0,0,0.49040650406504066
indianpines,2,10.0,0,0.4991869918699187
indianpines,2,1.0,1,0.49398373983739835
indianpines,2,3.0,1,0.5018970189701897
indianpines,2,5.0,1,0.4961517615176152
indianpines,2,10.0,1,0.49116531165311655
indianpines,2,1.0,2,0.5066666666666667
indianpines,2,3.0,2,0.5062330623306233
indianpines,2,5.0,2,0.47523035230352306
indianpines,2,10.0,2,0.5270460704607046
indianpines,2,1.0,3,0.5239024390243903
indianpines,2,3.0,3,0.4669918699186992
indianpines,2,5.0,3,0.5229268292682927
indianpines,2,10.0,3,0.5076422764227643
indianpines,2,1.0,4,0.4975609756097561
indianpines,2,3.0,4,0.48856368563685637
indianpines,2,5.0,4,0.511869918699187
indianpines,2,10.0,4,0.48845528455284554
indianpines,2,1.0,5,0.5198915989159891
indianpines,2,3.0,5,0.5053658536585366
indianpines,2,5.0,5,0.5029810298102981
indianpines,2,10.0,5,0.4849864498644986
indianpines,2,1.0,6,0.501680216802168
indianpines,2,3.0,6,0.5284552845528455
indianpines,2,5.0,6,0.5038482384823848
indianpines,2,10.0,6,0.5146883468834689
indianpines,2,1.0,7,0.47479674796747967
indianpines,2,3.0,7,0.4950677506775068
indianpines,2,5.0,7,0.513929539295393
indianpines,2,10.0,7,0.5165311653116531
indianpines,2,1.0,8,0.5196747967479675
indianpines,2,3.0,8,0.48314363143631434
indianpines,2,5.0,8,0.5164227642276423
indianpines,2,10.0,8,0.4807588075880759
indianpines,2,1.0,9,0.4785907859078591
indianpines,2,3.0,9,0.5061246612466125
indianpines,2,5.0,9,0.5052574525745257
indianpines,2,10.0,9,0.5033062330623306
indianpines,4,1.0,0,0.5879674796747968
indianpines,4,3.0,0,0.6134417344173442
indianpines,4,5.0,0,0.6110569105691057
indianpines,4,10.0,0,0.5941463414634146
indianpines,4,1.0,1,0.595989159891599
indianpines,4,3.0,1,0.5946883468834688
indianpines,4,5.0,1,0.6146341463414634
indianpines,4,10.0,1,0.5787533875338753
indianpines,4,1.0,2,0.5872086720867209
indianpines,4,3.0,2,0.6091056910569106
indianpines,4,5.0,2,0.5967479674796748
indianpines,4,10.0,2,0.5878590785907859
indianpines,4,1.0,3,0.5944715447154472
indianpines,4,3.0,3,0.6035772357723578
indianpines,4,5.0,3,0.6104065040650406
indianpines,4,10.0,3,0.5946883468834688
indianpines,4,1.0,4,0.6080216802168021
indianpines,4,3.0,4,0.6115989159891599
indianpines,4,5.0,4,0.5805962059620596
indianpines,4,10.0,4,0.596639566395664
indianpines,4,1.0,5,0.5897018970189702
indianpines,4,3.0,5,0.6036856368563686
indianpines,4,5.0,5,0.6100813008130082
indianpines,4,10.0,5,0.5774525745257453
indianpines,4,1.0,6,0.6024932249322493
indianpines,4,3.0,6,0.5952303523035231
indianpines,4,5.0,6,0.5863414634146341
indianpines,4,10.0,6,0.5970731707317073
indianpines,4,1.0,7,0.6030352303523036
indianpines,4,3.0,7,0.586449864498645
indianpines,4,5.0,7,0.5859078590785908
indianpines,4,10.0,7,0.5831978319783198
indianpines,4,1.0,8,0.6014092140921409
indianpines,4,3.0,8,0.6050948509485095
indianpines,4,5.0,8,0.5975067750677506
indianpines,4,10.0,8,0.5867750677506776
indianpines,4,1.0,9,0.6044444444444445
indianpines,4,3.0,9,0.6138753387533875
indianpines,4,5.0,9,0.5945799457994579
indianpines,4,10.0,9,0.596639566395664
indianpines,6,1.0,0,0.6609214092140921
